model,dataset,accuracy,macro_f1,precision,recall,metrics_file
textcnn,test,0.916,0.916,0.9162,0.9163,textcnn_test_metrics.json
textcnn,hard_test,0.9,0.8988,0.8979,0.9002,textcnn_hard_test_metrics.json
bilstm,test,0.8888,0.8887,0.8891,0.8885,bilstm_test_metrics.json
bilstm,hard_test,0.8833,0.8813,0.8824,0.8804,bilstm_hard_test_metrics.json
bert,test,0.9015,0.9015,0.9016,0.9014,bert_formal_test_metrics.json
bert,hard_test,0.8867,0.8848,0.8855,0.8842,bert_formal_hard_test_metrics.json
macbert,test,0.8922,0.8921,0.8942,0.8929,macbert_formal_test_metrics.json
macbert,hard_test,0.9,0.8992,0.8979,0.9026,macbert_formal_hard_test_metrics.json
